Number,gene_id,gene_symbol,posColors,negColors,K1,K2,DiffK,ttest,gene,baseMean,log2FoldChange,lfcMLE,lfcSE,stat,pvalue,padj
14207,STK16,STK16,grey,blue,0.189665293,0.066282148,0.123383144,-0.998289674,STK16,90.918954974133,0.0673380916621593,0.0841771122829762,0.165554876268174,0.406741819872957,0.684197621869544,0.910582034829052
14211,STK19B,STK19B,grey,turquoise,0.079845785,0.062471794,0.01737399,-0.002023232,STK19B,5.1604149684785,0.0328657429398628,0.0477917726930989,0.19192541650089,0.171242264516385,0.864033275995876,0.965647889818188
14212,STK24,STK24,grey,grey,0.115178176,0.01544169,0.099736486,1.131215539,STK24,105.544168360007,-0.350698396364039,-0.413798567135746,0.148696510734074,-2.35848436949016,0.018349732530386,0.164878790142697
14213,STK25,STK25,grey,turquoise,0.19131496,0.358832783,-0.167517823,2.607313397,STK25,911.157357065297,-0.231453023876182,-0.244373711471093,0.0926174629226734,-2.49902142179627,0.0124536782693532,0.127842566767927
14215,STK3,STK3,grey,turquoise,0.144966154,0.098912837,0.046053316,0.12689029,STK3,419.969410958797,-0.0123026618596184,-0.0134638151206713,0.116196409420962,-0.105878158550043,0.915679023598108,0.982318118524213
14223,STMN1,STMN1,grey,purple,0.097052873,0.066940324,0.030112549,3.044370823,STMN1,35.0889215179449,-0.521919315457671,-1.10619915739876,0.206769562815043,-2.52415930252042,0.0115975360512581,0.121541012235672
14226,STOML1,STOML1,grey,grey,0.17780892,0.019073878,0.158735043,-2.198700563,STOML1,87.5322259696648,0.366617842431081,0.439870459882845,0.154324107817206,2.3756355867959,0.017518754776953,0.159752352808638
14229,STRA13,STRA13,grey,red,0.108468236,0.089571709,0.018896527,2.558327434,STRA13,421.166047178323,-0.200634868638572,-0.209226791979459,0.082142638361004,-2.44251794977431,0.0145852042929082,0.141633393612045
14230,STRADA,STRADA,grey,grey,0.079469013,0.021345156,0.058123857,0.269691289,STRADA,33.3721408345813,-0.165203751532888,-0.184665961043373,0.127071036371548,-1.30008974704386,0.193570211316479,0.588213136675677
14233,STRAP,STRAP,grey,brown,0.098059469,0.210427513,-0.112368044,1.914553748,STRAP,1814.3101783598,-0.14989820737879,-0.154783863039766,0.0723611787537237,-2.07152799277854,0.0383094812668277,0.261507398549868
14243,STX10,STX10,grey,turquoise,0.149636302,0.398465936,-0.248829634,-0.527900282,STX10,2546.41665008913,0.0178875289943989,0.0181209075812818,0.0466728642016549,0.383253295043433,0.701531965381715,0.918190607382683
14255,STX7,STX7,grey,blue,0.192904981,0.320276352,-0.127371371,-0.554646011,STX7,2144.6468870877,0.111478761277025,0.114338248033036,0.0646332309567657,1.72479016794929,0.0845652942751278,0.405241087340944
14257,STXBP2,STXBP2,green,turquoise,0.173017821,0.392707639,-0.219689818,-1.468519751,STXBP2,4637.20481344747,0.0556745317375536,0.056323042394573,0.044158888016525,1.26077748417757,0.207389028154121,0.605303369648116
14259,STXBP5,STXBP5,grey,grey,0.080696026,0.053751699,0.026944327,0.444980573,STXBP5,93.8677605644447,-0.0794343507389716,-0.101159974124794,0.169966134745847,-0.4673539870619,0.640246637013042,0.896897070549443
14261,STYXL1,STYXL1,green,turquoise,0.221404587,0.040390904,0.181013683,-0.343651288,STYXL1,570.140160458791,0.0246656259545601,0.0267183192590407,0.110238872042919,0.223747082108724,0.822954108326125,0.954471319103885
14263,SUCLA2,SUCLA2,grey,blue,0.131551887,0.214320474,-0.082768587,-0.534738574,SUCLA2,667.09352010256,0.0375892367873226,0.0394564567833445,0.087881871426683,0.427724582750631,0.668851650174342,0.907294831726271
14264,SUCLA2P1,SUCLA2P1,grey,blue,0.110213037,0.109324641,0.000888396,-0.194210438,SUCLA2P1,17.5296433582026,0.0201809737907747,0.0221128942165882,0.116815863910054,0.172758845547841,0.862840987055617,0.965647889818188
14266,SUCLG2,SUCLG2,grey,blue,0.14741707,0.089086727,0.058330344,-0.690482082,SUCLG2,470.559275952213,0.055689983906995,0.0583760299936979,0.0867207149562044,0.642176254371514,0.520758748991629,0.848689785762779
